frame,player_id,x,y
164,1,1669,945
171,1,1799,1031
172,1,1814,1043
175,1,1865,1042
176,1,1876,1098
177,1,1879,1117
181,1,1968,1181
182,1,2004,1192
183,1,2019,1194
184,1,2035,1192
185,1,2054,1164
188,1,2106,1176
189,1,2126,1166
190,1,2142,1184
191,1,2152,1190
192,1,2189,1171
193,1,2202,1195
194,1,2217,1214
195,1,2252,1222
196,1,2227,1213
197,1,2275,1224
198,1,2295,1221
199,1,2316,1223
200,1,2317,1239
201,1,2360,1221
204,1,2396,1197
205,1,2403,1206
206,1,2415,1232
207,1,2423,1252
208,1,2419,1271
209,1,2420,1249
210,1,2429,1240
211,1,2424,1268
212,1,2447,1246
213,1,2472,1274
214,1,2459,1289
215,1,2459,1311
216,1,2443,1353
217,1,2455,1347
218,1,2443,1371
219,1,2466,1363
220,1,2476,1365
221,1,2484,1368
222,1,2485,1351
223,1,2493,1344
224,1,2473,1357
225,1,2503,1351
226,1,2511,1352
227,1,2599,1258
228,1,2519,1359
229,1,2518,1345
230,1,2520,1323
224,2,3142,1637
228,3,3175,1635
142,4,2660,482
143,4,2652,477
144,4,2647,486
145,4,2632,506
146,4,2628,485
147,4,2618,501
148,4,2605,500
149,4,2596,507
150,4,2593,504
151,4,2597,497
152,4,2586,491
154,4,2563,503
155,4,2563,493
156,4,2536,524
157,4,2537,525
158,4,2563,574
159,4,2529,518
160,4,2518,524
161,4,2519,532
162,4,2514,525
163,4,2510,519
164,4,2501,518
165,4,2489,531
166,4,2490,524
167,4,2482,517
168,4,2492,518
169,4,2486,524
170,4,2472,507
171,4,2463,518
172,4,2461,511
173,4,2451,520
174,4,2447,523
175,4,2443,511
176,4,2437,520
177,4,2435,526
178,4,2424,503
179,4,2425,495
180,4,2419,512
181,4,2417,509
182,4,2423,523
183,4,2411,537
184,4,2403,544
185,4,2404,548
186,4,2376,550
187,4,2401,566
188,4,2379,556
189,4,2386,551
190,4,2382,559
191,4,2380,550
192,4,2402,472
193,4,2427,435
194,4,2415,406
195,4,2426,445
196,4,2402,464
197,4,2422,424
198,4,2382,580
199,4,2379,594
200,4,2357,593
201,4,2372,618
202,4,2370,624
203,4,2367,613
204,4,2366,634
205,4,2373,615
206,4,2372,610
207,4,2370,615
208,4,2374,611
209,4,2384,606
210,4,2374,604
211,4,2380,618
212,4,2393,610
213,4,2383,626
214,4,2395,628
215,4,2405,611
216,4,2411,618
217,4,2430,616
218,4,2435,637
219,4,2448,655
220,4,2463,670
221,4,2468,674
222,4,2459,669
223,4,2466,680
224,4,2453,670
225,4,2469,684
226,4,2470,682
227,4,2469,695
228,4,2469,726
229,4,2480,692
230,4,2539,718
154,5,2597,992
155,5,2566,1083
156,5,2532,1074
157,5,2563,1091
158,5,2594,1110
159,5,2599,1016
160,5,2590,1030
161,5,2582,1049
162,5,2586,1061
163,5,2585,1081
164,5,2572,1099
165,5,2575,1124
166,5,2576,1100
167,5,2586,1093
168,5,2587,1088
169,5,2573,1114
170,5,2562,1102
171,5,2574,1093
172,5,2562,1084
173,5,2562,1095
174,5,2610,992
175,5,2558,1107
176,5,2563,1098
177,5,2568,1113
179,5,2577,1119
180,5,2546,1128
183,5,2581,1142
184,5,2551,1122
185,5,2562,1097
186,5,2552,1118
187,5,2583,1146
188,5,2544,1140
191,5,2543,1142
192,5,2522,1170
193,5,2517,1188
194,5,2569,1223
195,5,2526,1164
196,5,2511,1209
197,5,2508,1211
198,5,2514,1182
199,5,2510,1198
200,5,2489,1209
201,5,2507,1194
202,5,2507,1204
203,5,2495,1218
204,5,2493,1246
205,5,2503,1217
206,5,2508,1210
207,5,2498,1220
208,5,2505,1192
209,5,2502,1205
210,5,2512,1156
211,5,2533,1121
212,5,2563,1076
213,5,2528,1145
214,5,2546,1116
215,5,2588,1024
216,5,2557,1092
217,5,2629,957
218,5,2620,969
219,5,2657,930
220,5,2665,942
221,5,2682,940
222,5,2768,725
223,5,2770,729
224,5,2773,707
226,5,2754,785
227,5,2716,863
229,5,2749,819
