frame,player_id,x,y
224,2,5517,1721
225,2,1986,1180
227,2,2183,1037
228,2,2202,1046
229,2,2196,1047
230,2,2198,1043
99,4,2538,1430
100,4,2560,1430
101,4,2547,1468
102,4,2569,1468
103,4,2583,1468
104,4,2586,1471
105,4,2593,1477
106,4,2603,1476
107,4,2609,1482
108,4,2621,1475
109,4,2625,1487
110,4,2630,1491
111,4,2641,1496
112,4,2649,1512
113,4,2655,1489
114,4,2643,1513
115,4,2662,1512
116,4,2693,1523
117,4,2705,1545
118,4,2709,1549
119,4,2710,1549
120,4,2718,1516
121,4,2723,1562
122,4,2732,1556
123,4,2740,1564
124,4,2753,1551
125,4,2750,1542
126,4,2763,1522
127,4,2780,1555
128,4,2782,1542
129,4,2776,1537
130,4,2774,1549
131,4,2804,1538
132,4,2797,1535
133,4,2807,1548
134,4,2818,1538
135,4,2819,1541
136,4,2839,1537
137,4,2840,1539
138,4,2851,1553
139,4,2855,1547
140,4,2871,1556
141,4,2857,1549
142,4,2869,1552
143,4,2878,1550
144,4,2881,1551
145,4,2892,1560
146,4,2892,1575
147,4,2895,1582
148,4,2905,1553
149,4,2906,1560
150,4,2914,1558
151,4,2920,1554
152,4,2926,1552
153,4,2928,1551
154,4,2924,1543
155,4,2929,1544
156,4,2939,1541
157,4,2952,1525
158,4,2961,1522
159,4,2952,1528
160,4,2961,1535
161,4,2966,1533
162,4,2975,1533
163,4,2960,1533
164,4,2966,1535
165,4,2966,1528
166,4,2957,1534
167,4,2956,1530
168,4,2965,1531
169,4,2969,1540
170,4,2951,1533
171,4,2954,1533
172,4,2962,1583
173,4,2946,1546
174,4,2935,1547
175,4,2926,1551
176,4,2934,1538
177,4,2912,1560
178,4,2921,1544
179,4,2918,1554
180,4,2908,1554
181,4,2904,1559
182,4,2909,1544
183,4,2894,1564
184,4,2889,1566
185,4,2895,1552
186,4,2870,1574
187,4,2928,1585
188,4,2890,1565
189,4,2902,1512
190,4,2922,1480
191,4,2911,1503
192,4,1451,327
193,4,2904,1483
194,4,2888,1512
195,4,2942,1470
196,4,2886,1488
197,4,2876,1485
198,4,2838,1428
200,4,2876,1441
201,4,2854,1448
202,4,2914,1369
203,4,2895,1363
204,4,2889,1356
205,4,2889,1365
207,4,2867,1347
208,4,2852,1352
209,4,2863,1339
210,4,2888,1277
211,4,2861,1301
212,4,5,827
213,4,2871,1250
217,4,1390,823
218,4,2834,1210
219,4,2853,1194
220,4,2873,1170
221,4,2861,1139
222,4,2873,1132
223,4,2889,1147
225,4,2786,1157
226,4,1110,136
227,4,2802,1083
228,4,2807,1079
229,4,2791,1071
230,4,2786,1075
64,5,2309,268
65,5,2317,267
66,5,2319,273
67,5,2331,246
68,5,2346,257
69,5,2347,235
70,5,2353,260
71,5,2363,268
72,5,2367,268
73,5,2368,271
74,5,2396,259
75,5,2388,260
76,5,2397,241
77,5,2394,242
78,5,2400,242
79,5,2421,248
80,5,2428,243
81,5,2405,258
82,5,2435,239
83,5,2445,236
84,5,2436,255
85,5,2467,248
86,5,2470,262
87,5,2473,267
88,5,2479,264
89,5,2486,265
90,5,2502,255
91,5,2512,252
92,5,2507,266
93,5,2520,256
94,5,2527,250
95,5,2537,254
96,5,2547,250
97,5,2551,250
98,5,2555,266
99,5,2559,273
100,5,2588,271
101,5,2583,267
102,5,2588,264
104,5,2613,248
106,5,2629,254
107,5,2641,217
108,5,2637,251
109,5,2639,257
110,5,2663,212
111,5,2654,240
112,5,2682,245
113,5,2670,245
114,5,2675,247
115,5,2695,254
116,5,2704,255
117,5,2725,245
118,5,2729,244
119,5,2734,230
120,5,2737,224
121,5,2742,251
122,5,2770,208
124,5,2809,136
127,5,2832,144
129,5,2841,141
130,5,2849,134
131,5,2852,168
132,5,2852,167
133,5,2863,147
134,5,2861,218
135,5,2840,253
136,5,2865,271
137,5,2863,266
139,5,2863,282
140,5,2862,275
141,5,2882,262
142,5,2884,267
143,5,2895,264
144,5,2911,280
146,5,2924,276
147,5,2948,276
148,5,2942,266
149,5,2956,262
150,5,2948,285
151,5,2957,287
152,5,2965,295
153,5,2988,267
154,5,2968,298
155,5,2983,285
156,5,2987,291
157,5,2991,303
158,5,2995,313
159,5,2999,317
160,5,2947,484
161,5,3012,306
162,5,3017,301
163,5,3028,305
164,5,3044,285
165,5,3049,282
166,5,3056,280
168,5,3063,281
169,5,3075,286
171,5,3102,239
173,5,3136,173
180,5,3214,53
181,5,3237,8
182,5,3234,13
183,5,3228,34
186,5,3213,67
187,5,3197,145
188,5,3179,161
189,5,3166,185
190,5,3155,186
191,5,3174,184
192,5,660,1027
193,5,3187,208
194,5,3200,220
195,5,3195,228
196,5,3207,235
198,5,3222,241
200,5,3220,254
201,5,3191,292
202,5,3183,300
203,5,3163,327
204,5,3129,385
205,5,3121,404
207,5,3142,341
209,5,3084,463
211,5,3148,338
213,5,3114,396
217,5,597,571
218,5,3000,599
219,5,3002,633
220,5,3019,584
221,5,3009,580
222,5,2990,590
223,5,3000,590
224,5,2586,20
225,5,2872,748
226,5,350,221
227,5,2922,711
228,5,2936,697
229,5,2945,660
230,5,2931,678
